ID,age,draft_g,mp,draft_fg,fga,3p,3pa,draft_ft,fta,orb,draft_trb,draft_ast,draft_stl,draft_blk,draft_tov,draft_pf,draft_pts,fg_per,3p_per,ft_per,mp_per,pts_per,trb_per,ast_per,season,weight,height,position,shoots,born,draft_year,pk,amature_honor,college,raw_data,career_g,career_per,career_ws,career_ws48
1985001,22,37,1132,220,352,0,0,102,160,0,341,48,42,135,81,109,542,0.625,0,0.638,30.6,14.6,9.2,1.3,1984-85,108,213,"Center and Power Forward",Right,1962-08-05,1985,1,1,"Georgetown University",1,1183,21,126.4,0.15
1985002,20,37,1283,370,640,0,0,192,273,0,378,47,32,52,73,112,932,0.578,0,0.703,34.7,25.2,10.2,1.3,1984-85,108,206,"Power Forward",Left,1964-06-09,1985,2,1,"University of Oklahoma",1,840,15.7,45.7,0.092
1985003,20,32,1193,258,443,0,0,172,233,0,451,68,27,162,88,100,688,0.582,0,0.738,37.3,21.5,14.1,2.1,1984-85,113,213,Center,Right,1964-11-22,1985,3,1,"Creighton University",1,807,14.8,32.7,0.072
1985004,21,31,1143,351,628,0,0,142,224,0,460,69,46,31,99,101,844,0.559,0,0.634,36.9,27.2,14.8,2.2,1984-85,92,201,"Power Forward and Small Forward",Right,1963-06-04,1985,4,1,"Wichita State University",1,870,16.1,47.8,0.091
1985005,21,33,1084,219,370,0,0,128,192,0,354,42,13,91,81,115,566,0.592,0,0.667,32.8,17.2,10.7,1.3,1984-85,113,213,Center,Right,1963-05-17,1985,5,1,"Southern Methodist University",1,784,9.8,29.2,0.085
1985006,23,35,1289,294,484,0,0,185,257,0,294,23,38,16,87,99,773,0.607,0,0.72,36.8,22.1,8.4,0.7,1984-85,115,211,Center,Right,1962-01-04,1985,6,1,"University of Arkansas",1,965,10.5,19.1,0.062
1985007,21,35,1327,251,482,0,0,192,233,0,169,151,73,17,90,68,694,0.521,0,0.824,37.9,19.8,4.8,4.3,1984-85,90,198,"Shooting Guard and Small Forward",Left,1963-07-30,1985,7,1,"St. John's University",1,986,18.8,93.1,0.139
1985008,22,32,1180,191,342,0,0,125,175,0,255,134,17,20,116,90,507,0.558,0,0.714,36.9,15.8,8,4.2,1984-85,97,206,"Small Forward and Power Forward",Right,1963-01-21,1985,8,0,"University of Washington",1,1136,17.2,109.5,0.156
1985009,21,31,0,283,453,0,0,178,266,0,535,66,0,32,0,0,744,0.625,0,0.669,0,24,17.3,2.1,1984-85,102,203,"Power Forward and Center",Right,1963-12-18,1985,9,0,"Virginia Union University",1,1282,13.4,89.7,0.107
1985010,21,35,1186,177,295,0,0,192,263,0,311,71,54,64,86,113,546,0.6,0,0.73,33.9,15.6,8.9,2,1984-85,88,206,"Small Forward and Power Forward",Right,1963-03-27,1985,10,1,"Villanova University",1,793,14.8,42.7,0.13
1985011,22,35,1141,266,536,0,0,156,200,0,323,0,23,46,91,123,688,0.496,0,0.78,32.6,19.7,9.2,0,1984-85,97,208,"Power Forward",Right,1962-12-28,1985,11,1,"University of Memphis",1,182,12.2,3.7,0.062
1985012,20,28,1028,203,402,0,0,69,107,0,233,0,22,44,64,70,475,0.505,0,0.645,36.7,17,8.3,0,1984-85,95,198,"Small Forward",Right,1964-10-11,1985,12,0,"Wake Forest University",1,60,8.1,-0.3,-0.022
