PlayerId,PlayerName,Season,GameType,Team,Position,GP,G,A,P,PlusMinus,PIM,PointPerGame,PPG,PPP,SHG,SHP,GWG,OTG,S,ShootingPercentage,TOIPerGame,TOIPerGame_sec,ShiftsPerGame,FaceoffWinPercentage
8459557,"Antti Aalto",1998-1999,Playoffs,ANA,C,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,00:04:16,256,7.8,0
8444894,"Greg Adams",1998-1999,Playoffs,PHX,L,3,1,0,1,1,0,0.33,0,0,0,0,0,0,9,11.1,00:17:46,1066,22,25
8459446,"Kevyn Adams",1998-1999,Playoffs,TOR,C,7,0,2,2,-2,14,0.29,0,1,0,0,0,0,9,0,00:11:17,677,15.1,61.6
8460621,"Daniel Alfredsson",1998-1999,Playoffs,OTT,R,4,1,2,3,-1,4,0.75,1,1,0,0,0,0,13,7.7,00:22:23,1343,28.5,0
8459439,"Jason Allison",1998-1999,Playoffs,BOS,C,12,2,9,11,1,6,0.92,1,5,0,0,0,0,28,7.1,00:25:36,1536,27.4,55.2
8444963,"Mikael Andersson",1998-1999,Playoffs,PHI,R,6,0,1,1,1,2,0.17,0,0,0,0,0,0,7,0,00:10:40,640,16.3,43.5
8445000,"Dave Andreychuk",1998-1999,Playoffs,NJD,L,4,2,0,2,0,4,0.5,0,0,0,0,0,0,7,28.6,00:10:39,639,13.5,0
8455452,"Greg Andrusak",1998-1999,Playoffs,PIT,D,12,1,0,1,-1,6,0.08,0,0,0,0,1,0,9,11.1,00:14:38,878,20.5,0
8459429,"Jason Arnott",1998-1999,Playoffs,NJD,C,7,2,2,4,-3,4,0.57,1,2,0,0,0,0,12,16.7,00:16:48,1008,20.4,50.8
8466249,"Magnus Arvedson",1998-1999,Playoffs,OTT,L,3,0,1,1,-1,2,0.33,0,0,0,0,0,0,8,0,00:21:32,1292,30.7,0
8455479,"Blair Atcheynum",1998-1999,Playoffs,STL,R,13,1,3,4,2,6,0.31,0,0,0,0,0,0,19,5.3,00:13:49,829,23.2,0
8462209,"P.J. Axelsson",1998-1999,Playoffs,BOS,L,12,1,1,2,-1,4,0.17,0,0,0,0,0,0,20,5,00:15:10,910,20.3,0
8459019,"Matthew Barnaby",1998-1999,Playoffs,PIT,R,13,0,0,0,-2,35,0,0,0,0,0,0,0,10,0,00:10:26,626,14.7,100
8455521,"Stu Barnes",1998-1999,Playoffs,BUF,C,21,7,3,10,-1,6,0.48,4,5,0,0,1,0,30,23.3,00:14:40,880,19,45.7
8466437,"Lubos Bartecko",1998-1999,Playoffs,STL,L,5,0,0,0,-3,2,0,0,0,0,0,0,0,8,0,00:13:29,809,19.6,0
8459527,"Shawn Bates",1998-1999,Playoffs,BOS,C,12,0,0,0,-1,4,0,0,0,0,0,0,0,11,0,00:05:12,312,7.5,52.3
8460620,"Bates Battaglia",1998-1999,Playoffs,CAR,L,6,0,3,3,3,8,0.5,0,0,0,0,0,0,7,0,00:15:21,921,20.3,14.3
8445323,"Ken Baumgartner",1998-1999,Playoffs,BOS,L,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:01:28,88,2.3,0
8459089,"Ken Belanger",1998-1999,Playoffs,BOS,L,12,1,0,1,2,16,0.08,0,0,0,0,0,0,7,14.3,00:05:11,311,8.1,0
8455575,"Josef Beranek",1998-1999,Playoffs,EDM,L,2,0,0,0,-1,4,0,0,0,0,0,0,0,0,0,00:10:18,618,15,50
8462032,"Bryan Berard",1998-1999,Playoffs,TOR,D,17,1,8,9,-10,8,0.53,1,8,0,0,0,0,29,3.4,00:21:11,1271,22.9,0
8460742,"Sergei Berezin",1998-1999,Playoffs,TOR,L,17,6,6,12,0,4,0.71,2,4,0,0,2,1,65,9.2,00:17:09,1029,19.3,29.4
8445424,"Bill Berg",1998-1999,Playoffs,OTT,L,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:11,371,10.5,0
8445440,"Craig Berube",1998-1999,Playoffs,PHI,L,6,1,0,1,1,4,0.17,0,0,0,0,0,0,7,14.3,00:07:02,422,10.5,0
8459995,"Lonny Bohonos",1998-1999,Playoffs,TOR,R,9,3,6,9,3,2,1,0,1,0,0,0,0,26,11.5,00:19:21,1161,20.7,100
8455653,"Brad Bombardir",1998-1999,Playoffs,NJD,D,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,00:16:02,962,19.8,0
8459147,"Brian Bonin",1998-1999,Playoffs,PIT,C,3,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,00:06:55,415,9,40
8460105,"Radek Bonk",1998-1999,Playoffs,OTT,C,4,0,0,0,-1,6,0,0,0,0,0,0,0,8,0,00:16:16,976,24.3,50
8445621,"Ray Bourque",1998-1999,Playoffs,BOS,D,12,1,9,10,1,14,0.83,0,6,0,0,0,0,44,2.3,00:32:04,1924,29.5,0
8445735,"Rod Brind'Amour",1998-1999,Playoffs,PHI,C,6,1,3,4,1,0,0.67,0,2,0,0,0,0,19,5.3,00:25:08,1508,30.7,50
8445730,"Doug Brown",1998-1999,Playoffs,DET,R,10,2,2,4,0,4,0.4,1,2,0,0,1,0,15,13.3,00:11:49,709,16.2,40
8445689,"Rob Brown",1998-1999,Playoffs,PIT,R,13,2,5,7,-2,8,0.54,2,6,0,0,0,0,14,14.3,00:12:10,730,15.5,66.7
8460534,"Curtis Brown",1998-1999,Playoffs,BUF,C,21,7,6,13,3,10,0.62,3,4,0,0,3,0,34,20.6,00:18:51,1131,23.9,47.3
8462051,"Sean Brown",1998-1999,Playoffs,EDM,D,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,00:07:33,453,13,0
8458978,"Sergei Brylin",1998-1999,Playoffs,NJD,L,5,3,1,4,2,4,0.8,1,1,0,0,1,0,12,25,00:18:21,1101,22.8,0
8445733,"Kelly Buchberger",1998-1999,Playoffs,EDM,R,4,0,0,0,-4,0,0,0,0,0,0,0,0,2,0,00:10:05,605,15.3,0
8445775,"Marc Bureau",1998-1999,Playoffs,PHI,C,6,0,2,2,2,2,0.33,0,0,0,0,0,0,3,0,00:13:32,812,21.8,48.6
8445783,"Adam Burt",1998-1999,Playoffs,PHI,D,6,0,0,0,1,4,0,0,0,0,0,0,0,3,0,00:18:30,1110,25.7,0
8446036,"Guy Carbonneau",1998-1999,Playoffs,DAL,C,17,2,4,6,0,6,0.35,0,0,0,1,1,0,29,6.9,00:17:21,1041,25.5,51.9
8455805,"Keith Carney",1998-1999,Playoffs,PHX,D,7,1,2,3,5,10,0.43,0,0,0,0,0,0,5,20,00:23:59,1439,29.9,0
8445977,"Bobby Carpenter",1998-1999,Playoffs,NJD,C,7,0,0,0,-1,2,0,0,0,0,0,0,0,7,0,00:14:15,855,20,50.4
8459156,"Anson Carter",1998-1999,Playoffs,BOS,R,12,4,3,7,-3,0,0.58,1,2,0,0,1,1,27,14.8,00:21:30,1290,25.1,35.3
8446042,"Shawn Chambers",1998-1999,Playoffs,DAL,D,17,0,2,2,-1,18,0.12,0,0,0,0,0,0,19,0,00:20:56,1256,28.8,0
8446053,"Chris Chelios",1998-1999,Playoffs,DET,D,10,0,4,4,-6,14,0.4,0,3,0,0,0,0,21,0,00:27:15,1635,30.8,0
8446051,"Steve Chiasson",1998-1999,Playoffs,CAR,D,6,1,2,3,1,2,0.5,1,2,0,0,0,0,17,5.9,00:29:55,1795,33.7,0
8446085,"Wendel Clark",1998-1999,Playoffs,DET,L,10,2,3,5,-1,10,0.5,1,2,0,0,0,0,29,6.9,00:12:52,772,15.9,100
8446117,"Paul Coffey",1998-1999,Playoffs,CAR,D,5,0,1,1,0,2,0.2,0,0,0,0,0,0,8,0,00:23:10,1390,29.6,0
8455919,"Craig Conroy",1998-1999,Playoffs,STL,C,13,2,1,3,-3,6,0.23,0,0,0,0,0,0,20,10,00:15:08,908,25.6,47.5
8446165,"Bob Corkum",1998-1999,Playoffs,PHX,C,7,0,1,1,1,4,0.14,0,0,0,0,0,0,6,0,00:17:20,1040,23.6,47.9
8446181,"Sylvain Cote",1998-1999,Playoffs,TOR,D,17,2,1,3,-3,10,0.18,0,0,0,0,0,0,19,10.5,00:19:48,1188,23.2,0
8446205,"Geoff Courtnall",1998-1999,Playoffs,STL,L,13,2,4,6,-4,10,0.46,2,4,0,0,0,0,18,11.1,00:11:30,690,18.3,0
8464989,"Matt Cullen",1998-1999,Playoffs,ANA,C,4,0,0,0,-2,0,0,0,0,0,0,0,0,6,0,00:15:30,930,22.3,48.7
8455984,"Jim Cummins",1998-1999,Playoffs,PHX,R,3,0,1,1,1,0,0.33,0,0,0,0,0,0,0,0,00:04:27,267,7.7,0
8446261,"Randy Cunneyworth",1998-1999,Playoffs,BUF,L,3,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,00:16:43,1003,22.7,0
8465090,"Andreas Dackell",1998-1999,Playoffs,OTT,R,4,0,1,1,-3,0,0.25,0,1,0,0,0,0,3,0,00:18:48,1128,24.8,0
8446286,"Jean-Jacques Daigneault",1998-1999,Playoffs,PHX,D,6,0,0,0,-1,8,0,0,0,0,0,0,0,4,0,00:21:34,1294,28.8,0
8446303,"Vincent Damphousse",1998-1999,Playoffs,SJS,C,6,3,2,5,1,6,0.83,0,1,2,2,0,0,22,13.6,00:22:58,1378,27.2,36.4
8460540,"Mathieu Dandenault",1998-1999,Playoffs,DET,R,10,0,1,1,0,0,0.1,0,1,0,0,0,0,15,0,00:11:50,710,17.6,100
8446309,"Ken Daneyko",1998-1999,Playoffs,NJD,D,7,0,0,0,3,8,0,0,0,0,0,0,0,5,0,00:18:01,1081,22.3,0
8460518,"Johan Davidsson",1998-1999,Playoffs,ANA,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:07:20,440,11,28.6
8460254,"Greg De Vries",1998-1999,Playoffs,COL,D,19,0,2,2,3,22,0.11,0,0,0,0,0,0,7,0,00:12:09,729,20.3,0
8459436,"Adam Deadmarsh",1998-1999,Playoffs,COL,R,19,8,4,12,2,20,0.63,3,4,0,1,0,0,44,18.2,00:18:51,1131,28.5,48.5
8456024,"Kevin Dean",1998-1999,Playoffs,NJD,D,7,0,0,0,-4,0,0,0,0,0,0,0,0,7,0,00:14:41,881,18.7,0
8456031,"Louie Debrusk",1998-1999,Playoffs,PHX,L,6,2,0,2,-1,6,0.33,0,0,0,0,0,0,5,40,00:08:06,486,12.3,0
8459648,"Pavol Demitra",1998-1999,Playoffs,STL,R,13,5,4,9,-5,4,0.69,3,3,0,0,1,1,31,16.1,00:19:09,1149,23.8,54
8446407,"Eric Desjardins",1998-1999,Playoffs,PHI,D,6,2,2,4,1,4,0.67,1,2,0,0,1,0,21,9.5,00:26:39,1599,32.5,0
8464960,"Boyd Devereaux",1998-1999,Playoffs,EDM,C,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,00:32:46,1966,47,0
8446408,"Rob DiMaio",1998-1999,Playoffs,BOS,R,12,2,0,2,2,8,0.17,0,0,0,0,1,0,21,9.5,00:16:50,1010,22.9,47.1
8446417,"Gerald Diduck",1998-1999,Playoffs,PHX,D,3,0,0,0,-1,2,0,0,0,0,0,0,0,4,0,00:19:00,1140,24.3,0
8446423,"Kevin Dineen",1998-1999,Playoffs,CAR,R,6,0,0,0,0,8,0,0,0,0,0,0,0,4,0,00:08:01,481,12.3,0
8462038,"Shane Doan",1998-1999,Playoffs,PHX,R,7,2,2,4,4,6,0.57,0,0,0,0,2,1,17,11.8,00:17:58,1078,23.9,36.2
8446435,"Bobby Dollas",1998-1999,Playoffs,PIT,D,13,1,0,1,-4,6,0.08,0,0,0,0,0,0,6,16.7,00:16:39,999,22.3,0
8446454,"Tie Domi",1998-1999,Playoffs,TOR,R,14,0,2,2,-1,24,0.14,0,1,0,0,0,0,7,0,00:06:58,418,8.9,0
8456087,"Ted Donato",1998-1999,Playoffs,OTT,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:05:38,338,6,0
8459450,"Shean Donovan",1998-1999,Playoffs,COL,R,5,0,0,0,0,2,0,0,0,0,0,0,0,1,0,00:04:54,294,8.8,0
8456106,"Dallas Drake",1998-1999,Playoffs,PHX,R,7,4,3,7,3,4,1,2,3,0,0,1,0,18,22.2,00:19:50,1190,26.6,28.6
8446485,"Kris Draper",1998-1999,Playoffs,DET,C,10,0,1,1,-1,6,0.1,0,0,0,0,0,0,9,0,00:11:35,695,17.7,53
8460562,"Chris Drury",1998-1999,Playoffs,COL,C,19,6,2,8,2,4,0.42,0,0,0,0,4,1,40,15,00:11:28,688,19.5,44
8456118,"Ted Drury",1998-1999,Playoffs,ANA,C,4,0,0,0,-6,0,0,0,0,0,0,0,0,4,0,00:10:26,626,15.8,29.2
8446494,"Steve Duchesne",1998-1999,Playoffs,PHI,D,6,0,2,2,2,2,0.33,0,2,0,0,0,0,10,0,00:22:01,1321,25.3,0
8456149,"Karl Dykhuis",1998-1999,Playoffs,PHI,D,5,1,0,1,1,4,0.2,0,0,0,0,0,0,12,8.3,00:18:04,1084,25.6,0
8456153,"Dallas Eakins",1998-1999,Playoffs,TOR,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:02:28,148,5,0
